Origen, Destino, Ruta, Clase, Tipo, Precio
CAPURGANA COLOMBIA,MANAGUA NICARAGUA,CAPURGANA COLOMBIA ---> ACANDI COLOMBIA ---> BOGOTA COLOMBIA ---> MANAGUA NICARAGUA,Turista,Ida y Vuelta,3452.4
CAPURGANA COLOMBIA,MANAGUA NICARAGUA,CAPURGANA COLOMBIA ---> ACANDI COLOMBIA ---> BOGOTA COLOMBIA ---> MANAGUA NICARAGUA,Turista,Ida y Vuelta,3452.4
CAPURGANA COLOMBIA,MANAGUA NICARAGUA,CAPURGANA COLOMBIA ---> ACANDI COLOMBIA ---> BOGOTA COLOMBIA ---> MANAGUA NICARAGUA,Turista,Ida,1726.2
LOMA DE CHIRIGUANA COLOMBIA,PONCE PUERTO RICO,LOMA DE CHIRIGUANA COLOMBIA ---> ARARACUARA COLOMBIA ---> RIONEGRO ANTIOQUIA COLOMBIA ---> PONCE PUERTO RICO,Ejecutivo,Ida y Vuelta,4102.56
